fuente,id_externo,url,marca,modelo,ano,precio,kilometraje,combustible,transmision,patente,correo_vendedor,fecha_aviso,region,imagen_url,imagen_local
yapo,32367801,https://www.yapo.cl/autos-usados/honda-wr-v-2021/32367801,Honda,WR-V,2021,$10.990.000,94700,bencina,,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/36/78/01/32367801_1ac48a,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32367801.jpg
yapo,32385614,https://www.yapo.cl/autos-usados/subaru-forester-limited-4x4-2-0-aut-2022/32385614,Subaru,Forester,2022,$21.500.000,134002,bencina,automatica,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/38/56/14/32385614_62daf7,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32385614.jpg
yapo,32197961,https://www.yapo.cl/autos-usados/land-rover/32197961,Land Rover,Range Rover,2020,"$24.990.000
-7%",58000,diesel,,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/19/79/61/32197961_76ae91586c13d7ccb3a02c2fd64175a6-38eb4da,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32197961.jpg
yapo,32233231,https://www.yapo.cl/autos-usados/bmw-218i-gran-coupe-dynamic-plus/32233231,BMW,218i,2023,"$23.990.000
-4%",53900,bencina,,,,2026-05-18,Lo Barnechea,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/23/32/31/32233231_1701a59,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32233231.jpg
yapo,31892557,https://www.yapo.cl/autos-usados/bmw-x3-2021/31892557,BMW,X3,2021,"$31.490.000
-5%",89200,bencina,,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/31/89/25/57/31892557_739977,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\31892557.jpg
yapo,32302848,https://www.yapo.cl/autos-usados/mazda-new-cx3-r/32302848,Mazda,CX-3,2018,"$12.490.000
-4%",170000,bencina,,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/30/28/48/32302848_0af2edabbfdd2a75711def6bbeb39e95-7ea9258,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32302848.jpg
yapo,32320840,https://www.yapo.cl/autos-usados/jeep-grand-cherokee-3-6-limited-lx-at-4x4-2022/32320840,Jeep,Grand Cherokee,2022,$23.490.000,100000,bencina,,,,2026-05-18,Región Metropolitana,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/32/08/40/32320840_a21a71,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32320840.jpg
yapo,32304987,https://www.yapo.cl/autos-usados/mini-cooper-iconic-se-electrico-4x2-hb-at-3p-2022/32304987,,Cooper,2022,$19.990.000,61000,electrico,automatica,,,2026-05-18,La Reina,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/30/49/87/32304987_f3a7d7,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32304987.jpg
yapo,32220125,https://www.yapo.cl/autos-usados/2025-chevrolet-groove-1-5-premier-s/32220125,Chevrolet,Groove,2025,"$11.980.000
-2%",13000,bencina,,,,2026-05-18,Providencia,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/22/01/25/32220125_aff00af950134369f52700ca7b113170-57f43a3,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32220125.jpg
yapo,31896439,https://www.yapo.cl/autos-usados/2022-ford-ranger-3-2-dsl-xlt-4wd/31896439,Ford,Ranger,2022,"$17.480.000
-3%",112000,diesel,,,,2026-05-18,Providencia,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/31/89/64/39/31896439_aecd04,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\31896439.jpg
yapo,32340426,https://www.yapo.cl/autos-usados/bmw-x3-xdrive-28i-xline-lci-2-0-aut-2017/32340426,BMW,X3,2017,"$21.500.000
-2%",85501,bencina,automatica,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/34/04/26/32340426_d27e64,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32340426.jpg
yapo,32323943,https://www.yapo.cl/autos-usados/mazda-all-new-3-2-0-mt-2020/32323943,Mazda,3,2020,"$14.190.000
-3%",57000,bencina,,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/32/39/43/32323943_c05926370a464207d832885b10051a79-aed124e,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32323943.jpg
yapo,32102253,https://www.yapo.cl/autos-usados/audi-a1-attraction-1-4-aut-2013/32102253,Audi,A1,2013,"$7.950.000
-6%",166481,bencina,automatica,,,2026-05-18,La Reina,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/10/22/53/32102253_cc6e68,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32102253.jpg
yapo,32376910,https://www.yapo.cl/autos-usados/toyota-hilux-4x4-2-4-2018/32376910,Toyota,Hilux,2018,$19.900.000,206800,diesel,manual,,,2026-05-18,Vitacura,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/37/69/10/32376910_b5fef9,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32376910.jpg
yapo,32275443,https://www.yapo.cl/autos-usados/ford-f-150-lariat-4x4-5-0-aut-2019/32275443,Ford,F-150,2019,$23.900.000,106552,bencina,automatica,,,2026-05-18,Las Condes,https://photos.encuentra24.com/t_or_fh_l/f_auto/v1/cl/32/27/54/43/32275443_890316,C:\Users\ivanc\Downloads\CarFlip-main\CarFlip-main\data\raw\imagenes\32275443.jpg
